Andong,안동시
Ansan,안산시,단위구,상록구
Anseong,안성시
Anyang,안양시,동안구,만안구
Asan,아산시
Boryeong,보령시
Bucheon,부천시
Busan,부산광역시,북구,부산진구,동구,동래구,강서구,금정구,해운대구,중구,남구,사하구,삼구,서구,수영구,영도구,연제구
Changwon,창원시,진해구,마산합포구,마산구,성산구,의창구
Cheonan,천안시,동남구,서북구
Cheongju,청주시,흥덕구,토구,청원구,서원구
Chuncheon,춘천시
Chungju,충주시
Daegu,대구광역시,중구,동구,서구,남구,북구,수성구,달서구
Daejeon,대전광역시,대덕구,동구,중구,서구,유성구
Dangjin,당진시
Dongducheon,동두천시
Donghae,동해시
Gangneung,강릉시
Geoje,거제시
Gimcheon,김천시
Gimhae,김해시
Gimje,김제시
Gimpo,김포시
Gongju,공주시
Goyang,고양시,덕양구,일산동구,일산서구
Gumi,구미시
Gunpo,군포시
Gunsan,군산시
Guri,구리시
Gwacheon,과천시
Gwangju,광주광역시,북구,동구,광구,남구,서구
Gwangju,광주시
Gwangmyeong,광명시
Gwangyang,광양시
Gyeongju,경주시
Gyeongsan,경산시
Gyeryong,계룡시
Hanam,하남시
Hwaseong,화성시
Icheon,이천시
Iksan,익산시
Incheon,인천광역시,부평구,동구,계양구,중구,남동구,미추홀구,서구,연수구
Jecheon,제천시
Jeongeup,정읍시
Jeonju,전주시,덕진구,완산구
Jeju,제주시
Jinju,진주시
Naju,나주시
Namyangju,남양주시
Namwon,남원시
Nonsan,논산시
Miryang,밀양시
Mokpo,목포시
Mungyeong,문경시
Osan,오산시
Paju,파주시
Pocheon,포천시
Pohang,포항시,북구,남구
Pyeongtaek,평택시
Sacheon,사천시
Sangju,상주시
Samcheok,삼척시
Sejong,세종특별자치시
Seogwipo,서귀포시
Seongnam,성남시,분당구,중원구,수정구
Seosan,서산시
Seoul,서울특별시,도봉구,동대문구,동작구,은평구,강북구,강동구,강남구,강서구,금천구,구로구,관악구,광진구,종로구,중구,중랑구,마포구,노원구,서초구,서대문구,성북구,성동구,송파구,양천구,영등포구,용산구
Siheung,시흥시
Sokcho,속초시
Suncheon,순천시
Suwon,수원시,끼구,장안구,팔달구,영통구
Taebaek,태백시
Tongyeong,통영시
Uijeongbu,의정부시
Uiwang,의왕시
Ulsan,울산광역시,북구,동구,중구,남구
Wonju,원주시
Yangju,양주시
Yangsan,양산시
Yeoju,여주시
Yeongcheon,영천시
Yeongju,영주시
Yeosu,여수시
Yongin,용인시,처인구,기흥구,수지구